x-axis,1,2
second,Volt,Volt
-75.000E-06,-7.281275E-03,-16.788812E-03
-73.550E-06,+3.954906E-03,+65.459E-06
-72.100E-06,-14.195848E-03,-21.110420E-03
-70.650E-06,-2.959667E-03,-15.924491E-03
-69.200E-06,-12.035044E-03,-16.788812E-03
-67.750E-06,-12.467204E-03,-9.874240E-03
-66.300E-06,-9.874240E-03,-16.788812E-03
-64.850E-06,-23.703385E-03,-16.788812E-03
-63.400E-06,-28.024993E-03,-37.532531E-03
-61.950E-06,-20.678260E-03,-9.874240E-03
-60.500E-06,-10.738561E-03,-3.823988E-03
-59.050E-06,-15.924491E-03,-9.009918E-03
-57.600E-06,-2.959667E-03,-7.281275E-03
-56.150E-06,+3.954906E-03,-5.552632E-03
-54.700E-06,+3.954906E-03,-2.959667E-03
-53.250E-06,-9.874240E-03,-9.874240E-03
-51.800E-06,-16.788812E-03,-18.949616E-03
-50.350E-06,-12.467204E-03,-12.467204E-03
-48.900E-06,-9.874240E-03,-10.738561E-03
-47.450E-06,-15.924491E-03,-16.788812E-03
-46.000E-06,-18.949616E-03,-366.702E-06
-44.550E-06,-9.874240E-03,-5.552632E-03
-43.100E-06,-3.823988E-03,+3.090584E-03
-41.650E-06,+3.522745E-03,-10.306400E-03
-40.200E-06,-12.035044E-03,-21.110420E-03
-38.750E-06,-16.788812E-03,-12.467204E-03
-37.300E-06,-2.959667E-03,-2.959667E-03
-35.850E-06,+3.954906E-03,-9.009918E-03
-34.400E-06,+1.794102E-03,+6.547871E-03
-32.950E-06,-9.874240E-03,-12.467204E-03
-31.500E-06,-30.617958E-03,-9.874240E-03
-30.050E-06,-15.924491E-03,-2.959667E-03
-28.600E-06,-16.788812E-03,-9.874240E-03
-27.150E-06,-8.577757E-03,-9.874240E-03
-25.700E-06,-9.874240E-03,-15.492330E-03
-24.250E-06,-29.753636E-03,-17.220973E-03
-22.800E-06,-9.874240E-03,-2.959667E-03
-21.350E-06,-20.678260E-03,-12.467204E-03
-19.900E-06,-23.703385E-03,+3.090584E-03
-18.450E-06,+3.090584E-03,-2.095345E-03
-17.000E-06,-5.120471E-03,-9.874240E-03
-15.550E-06,-2.959667E-03,-9.874240E-03
-14.100E-06,-16.788812E-03,-3.823988E-03
-12.650E-06,-9.874240E-03,+3.522745E-03
-11.200E-06,-2.959667E-03,-7.281275E-03
-9.750E-06,-12.467204E-03,-16.788812E-03
-8.300E-06,-22.406903E-03,-9.874240E-03
-6.850E-06,-9.009918E-03,-15.924491E-03
-5.400E-06,-18.949616E-03,-2.959667E-03
